REF_AREA,ACTIVITY,TIME_PERIOD,B1G,SAL,Produtividade_Trabalho,Prod_Projetada_Contrafactual,Choque_Estrutural_Percentual
AUS,GTN,2021,1021494.0,2469.948,413.56903060307343,382.69653144725453,8.067096672934948
AUS,GTN,2022,1139617.0,2701.957,421.7746618469502,391.05662933149506,7.855136625088588
AUS,GTN,2023,1226084.0,2691.078,455.61072551594566,399.4167272157356,14.069014758577758
AUS,GTN,2024,1300289.0,5774.536,225.1763604902628,407.7768250999725,-44.77951010701564
AUS,GTNXL,2015,93.46690273171912,4792.311,0.0195035135932787,0.019554101321489048,-0.25870648504185967
AUS,GTNXL,2016,94.04236913959592,4831.400000000001,0.0194648278220797,0.019463010528168484,0.009337167590728335
AUS,GTNXL,2017,94.59947712385537,4863.894,0.019449329513319,0.019371919734847892,0.3995978691355928
AUS,GTNXL,2018,95.8132983580997,4958.534000000001,0.0193229084156929,0.019280828941527328,0.21824515062700556
AUS,GTNXL,2019,97.7479173449088,5112.601,0.0191190193298692,0.019189738148206736,-0.3685241444743026
AUS,GTNXL,2020,100.0,4906.536999999999,0.0203809733830601,0.019098647354886145,6.714224334038454
AUS,GTNXL,2021,101.66138289477963,5090.030000000001,0.0199726490599818,0.01900755656156558,5.077414844408223
AUS,GTNXL,2022,107.98032783425415,5400.305,0.0199952276462633,0.01891646576824499,5.702766527504455
AUS,GTNXL,2023,112.82158797907675,5521.877,0.0204317459405699,0.018825374974924425,8.533009131479075
AUS,GTNXL,2024,116.64403298123813,5588.033,0.0208738983791323,0.018734284181603833,11.420848412396056
AUS,GTU,2015,93.1687778628485,8352.553,0.0111545269886762,0.011173866200381605,-0.17307538284953017
AUS,GTU,2016,94.00006361239625,8495.429,0.0110647812620641,0.011065459848825204,-0.006132476827669375
AUS,GTU,2017,95.1867431821506,8675.035,0.0109724909677195,0.010957053497268776,0.14089070984797392
AUS,GTU,2018,96.64245418781536,8868.587,0.0108971648119159,0.010848647145712348,0.44722319337970884
AUS,GTU,2019,98.06137829016312,9167.782,0.0106963034559682,0.01074024079415592,-0.4090908111820668
AUS,GTU,2020,100.0,8973.405999999999,0.0111440405125991,0.01063183444259952,4.8176640895317036
AUS,GTU,2021,102.5213168643487,9349.282,0.0109656887945351,0.010523428091043091,4.202629596228591
AUS,GTU,2022,108.18263582938484,9872.415,0.0109580721464185,0.010415021739486663,5.214107281917224
AUS,GTU,2023,114.45568074122691,10178.841,0.0112444708332929,0.010306615387930262,9.099548300414195
AUS,GTU,2024,119.76595752592004,10460.872,0.011448945893413,0.010198209036373834,12.264279468857486
AUS,H,2015,80497.0,1040.121,77.39195728189316,62.19859883996105,24.427171552570016
AUS,H,2016,83479.0,1104.789,75.56103473151887,86.18060087000049,-12.322455438087221
AUS,H,2017,85796.0,1029.563,83.3324429879473,110.16260290003993,-24.355052627467376
AUS,H,2018,89595.0,563.88,158.89018940200043,134.14460493007937,18.446947221484812
AUS,H,2019,88880.0,571.071,155.6373900968531,158.1266069601188,-1.574192295097765
AUS,H,2020,85907.0,546.052,157.32384461553113,182.10860899015825,-13.609880670697216
AUS,H,2021,94985.0,570.62,166.45928989520172,206.09061102019768,-19.230046885111108
AUS,H,2022,110380.0,610.339,180.8503143335097,230.07261305023712,-21.394245088171182
AUS,H,2023,117780.0,627.335,187.74657878167167,254.05461508028384,-26.099914098257237
AUS,H,2024,124821.0,642.964,194.1337306598814,278.0366171103233,-30.17691961672434
AUS,H49,2015,31499.0,581.273,54.189683677033,53.13044210501175,1.9936622584989516
AUS,H49,2016,31621.0,607.975,52.01036226818537,54.12884541222775,-3.913778555424008
AUS,H49,2017,32247.0,573.928,56.186490291465134,55.12724871944374,1.9214482794382315
AUS,H50,2015,4544.0,10.112,449.36708860759495,433.6910618787224,3.6145607107891387
AUS,H50,2016,4820.0,14.546,331.3625739034786,362.714627361187,-8.643724595779368
AUS,H50,2017,4847.0,15.767,307.4142195725249,291.73819284365163,5.373320022337413
AUS,H51,2015,9849.0,95.939,102.65898122765508,95.99903267575064,6.937516312689618
AUS,H51,2016,8967.0,100.216,89.47673026263271,102.79662736644059,-12.95752345680199
AUS,H51,2017,9338.0,80.324,116.25417060903342,109.59422205712872,6.076915759694934
AUS,H52,2015,29444.0,202.005,145.75876834731815,142.301966781386,2.429201538192882
AUS,H52,2016,32698.0,232.811,140.44869013921164,147.36229327107685,-4.691568635639687
